time 89.15, 7.031250% cpu usage
time 89.65, 5.468750% cpu usage
time 90.15, 7.812500% cpu usage
time 90.65, 5.468750% cpu usage
time 91.15, 7.031250% cpu usage
time 91.65, 7.031250% cpu usage
time 92.15, 7.031250% cpu usage
time 92.66, 6.250000% cpu usage
time 93.16, 4.687500% cpu usage
time 93.66, 6.870229% cpu usage
time 94.16, 7.086614% cpu usage
time 94.66, 5.426357% cpu usage
time 95.16, 6.349206% cpu usage
time 95.66, 7.633588% cpu usage
time 96.16, 5.468750% cpu usage
time 96.66, 7.812500% cpu usage
time 97.16, 5.468750% cpu usage
time 97.66, 4.687500% cpu usage
time 98.16, 3.125000% cpu usage
time 98.66, 4.687500% cpu usage
time 99.16, 3.125000% cpu usage
time 99.66, 3.125000% cpu usage
time 100.16, 5.468750% cpu usage
time 100.66, 4.687500% cpu usage
time 101.16, 3.906250% cpu usage
time 101.66, 6.250000% cpu usage
time 102.18, 4.545455% cpu usage
time 102.68, 0.781250% cpu usage
time 103.18, 3.906250% cpu usage
time 103.68, 3.125000% cpu usage
time 104.18, 3.906250% cpu usage
time 104.68, 7.031250% cpu usage
time 105.18, 3.906250% cpu usage
time 105.68, 5.468750% cpu usage
time 106.18, 6.250000% cpu usage
time 106.68, 3.906250% cpu usage
time 107.18, 7.031250% cpu usage
time 107.68, 7.031250% cpu usage
time 108.18, 6.250000% cpu usage
time 108.69, 4.687500% cpu usage
time 109.19, 7.812500% cpu usage
time 109.69, 9.302326% cpu usage
time 110.19, 6.106870% cpu usage
time 110.69, 6.250000% cpu usage
time 111.19, 6.349206% cpu usage
time 111.69, 6.153846% cpu usage
time 112.19, 7.812500% cpu usage
time 112.69, 7.086614% cpu usage
time 113.19, 7.751938% cpu usage
time 113.69, 7.031250% cpu usage
time 114.19, 5.468750% cpu usage
time 114.69, 7.812500% cpu usage
time 115.19, 6.250000% cpu usage
time 115.69, 4.687500% cpu usage
time 116.19, 4.687500% cpu usage
time 116.69, 6.250000% cpu usage
time 117.20, 7.812500% cpu usage
time 117.70, 6.250000% cpu usage
time 118.20, 6.250000% cpu usage
time 118.70, 5.468750% cpu usage
time 119.20, 4.687500% cpu usage
time 119.70, 6.250000% cpu usage
time 120.20, 5.468750% cpu usage
time 120.70, 3.125000% cpu usage
time 121.20, 4.580153% cpu usage
time 121.70, 3.875969% cpu usage
time 122.20, 6.349206% cpu usage
time 122.70, 6.153846% cpu usage
time 123.20, 5.468750% cpu usage
time 123.70, 4.687500% cpu usage
time 124.21, 4.687500% cpu usage
time 124.71, 6.250000% cpu usage
time 125.21, 5.468750% cpu usage
time 125.71, 6.250000% cpu usage
time 126.21, 6.250000% cpu usage
time 126.71, 5.468750% cpu usage
time 127.21, 4.687500% cpu usage
time 127.71, 5.468750% cpu usage
time 128.21, 7.812500% cpu usage
time 128.71, 5.468750% cpu usage
time 129.21, 6.250000% cpu usage
time 129.71, 5.468750% cpu usage
time 130.21, 5.468750% cpu usage
time 130.71, 7.031250% cpu usage
time 131.21, 4.687500% cpu usage
time 131.71, 7.031250% cpu usage
time 132.22, 7.031250% cpu usage
time 132.72, 3.906250% cpu usage
time 133.22, 6.250000% cpu usage
time 133.72, 5.468750% cpu usage
time 134.22, 6.818182% cpu usage
time 134.72, 5.468750% cpu usage
time 135.22, 5.468750% cpu usage
time 135.72, 3.906250% cpu usage
time 136.22, 5.468750% cpu usage
time 136.72, 3.906250% cpu usage
time 137.22, 7.031250% cpu usage
time 137.72, 6.250000% cpu usage
time 138.22, 7.031250% cpu usage
time 138.72, 7.812500% cpu usage
time 139.22, 5.468750% cpu usage
time 139.73, 7.812500% cpu usage
time 140.23, 7.031250% cpu usage
time 140.73, 7.031250% cpu usage
time 141.23, 4.687500% cpu usage
time 141.73, 6.250000% cpu usage
time 142.23, 4.687500% cpu usage
time 142.73, 7.031250% cpu usage
time 143.23, 6.250000% cpu usage
time 143.73, 7.031250% cpu usage
time 144.23, 7.031250% cpu usage
time 144.73, 6.060606% cpu usage
time 145.23, 7.031250% cpu usage
time 145.73, 5.468750% cpu usage
time 146.24, 5.468750% cpu usage
time 146.74, 4.687500% cpu usage
time 147.24, 4.687500% cpu usage
time 147.74, 5.468750% cpu usage
time 148.24, 7.031250% cpu usage
time 148.74, 7.031250% cpu usage
time 149.24, 6.250000% cpu usage
time 149.74, 6.250000% cpu usage
time 150.24, 6.250000% cpu usage
time 150.74, 7.812500% cpu usage
time 151.24, 4.687500% cpu usage
time 151.74, 9.375000% cpu usage
time 152.24, 6.250000% cpu usage
time 152.75, 7.031250% cpu usage
time 153.25, 7.031250% cpu usage
time 153.75, 6.250000% cpu usage
time 154.25, 7.031250% cpu usage
time 154.75, 7.812500% cpu usage
time 155.25, 7.031250% cpu usage
time 155.75, 7.575758% cpu usage
time 156.25, 5.468750% cpu usage
time 156.75, 7.031250% cpu usage
time 157.25, 4.687500% cpu usage
time 157.75, 7.812500% cpu usage
time 158.25, 6.250000% cpu usage
time 158.75, 6.250000% cpu usage
time 159.25, 6.250000% cpu usage
time 159.76, 7.031250% cpu usage
time 160.26, 7.812500% cpu usage
time 160.76, 5.468750% cpu usage
time 161.26, 7.031250% cpu usage
time 161.76, 4.687500% cpu usage
time 162.26, 7.812500% cpu usage
time 162.76, 5.468750% cpu usage
time 163.26, 5.468750% cpu usage
time 163.76, 7.812500% cpu usage
time 164.26, 6.250000% cpu usage
